r h1 h2
4.7900000000 -0.0026252204 0.0001173104
4.8000000000 -0.0024746169 0.0001489194
4.8100000000 -0.0024556921 0.0008892969
4.8200000000 -0.0034087575 0.0007493277
4.8300000000 -0.0038189554 0.0015677471
4.8400000000 -0.0027874247 0.0012210188
4.8500000000 -0.0021107020 0.0006847635
4.8600000000 -0.0033536636 -0.0000569728
4.8700000000 -0.0037305264 -0.0002547498
4.8800000000 -0.0033014260 0.0011034495
4.8900000000 -0.0014781526 -0.0000296235
4.9000000000 -0.0021499905 0.0002956072
4.9100000000 -0.0018772684 -0.0002254229
4.9200000000 -0.0014712641 0.0006877030
4.9300000000 -0.0021720596 -0.0004498236
4.9400000000 -0.0011201499 -0.0004647887
4.9500000000 -0.0030582167 0.0000824073
4.9600000000 -0.0019776081 0.0002405321
4.9700000000 -0.0019579024 -0.0007459893
4.9800000000 -0.0022592974 -0.0015317817
4.9900000000 -0.0025810723 0.0004667827
5.0000000000 -0.0018292786 -0.0001690517
5.0100000000 -0.0008967259 -0.0011101527
5.0200000000 -0.0012072274 -0.0010265938
5.0300000000 -0.0006568117 -0.0017663213
5.0400000000 -0.0009303098 -0.0004254642
5.0500000000 -0.0015088614 -0.0011058299
5.0600000000 -0.0020504335 -0.0014711203
5.0700000000 -0.0016837909 -0.0011222250
5.0800000000 -0.0021851266 -0.0014958154
5.0900000000 -0.0030591922 -0.0010834719
5.1000000000 -0.0024849920 -0.0012402149
5.1100000000 -0.0038100101 -0.0016847564
5.1200000000 -0.0040728834 -0.0013541985
5.1300000000 -0.0035282710 -0.0018081390
5.1400000000 -0.0041884959 -0.0003132709
5.1500000000 -0.0031398546 -0.0012686726
5.1600000000 -0.0029147506 -0.0017544284
5.1700000000 -0.0032402220 -0.0009296357
5.1800000000 -0.0031103687 -0.0015458725
5.1900000000 -0.0026380744 -0.0014043949
5.2000000000 -0.0037509484 -0.0014806926
5.2100000000 -0.0043964805 -0.0022956967
5.2200000000 -0.0043117751 -0.0025727413
5.2300000000 -0.0041859340 -0.0024567704
5.2400000000 -0.0050054974 -0.0017577430
5.2500000000 -0.0067043143 -0.0016524057
5.2600000000 -0.0069412339 -0.0022728991
5.2700000000 -0.0050075383 -0.0021306969
5.2800000000 -0.0049282011 -0.0016388311
5.2900000000 -0.0039573335 -0.0014613764
5.3000000000 -0.0041840186 -0.0015555651
5.3100000000 -0.0038904949 -0.0018080231
5.3200000000 -0.0034292508 -0.0003868896
5.3300000000 -0.0027008793 -0.0024082226
5.3400000000 -0.0014526443 -0.0024669774
5.3500000000 -0.0008309612 -0.0021706861
